evaluation,scenario,perturbation_kind,perturbation_level,metric,mean,std,n_seeds,mean_std
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,lift@10%,2.4981999999999998,0.33765914766225424,5,2.4982 ± 0.3377
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,lift@10%,2.2434000000000003,0.4962865099919601,5,2.2434 ± 0.4963
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,lift@10%,2.1079999999999997,0.48542919154084657,5,2.1080 ± 0.4854
temporal,current_measurement_missing,current_measurement_missing,1.0,lift@10%,1.6003999999999998,0.6270078149433228,5,1.6004 ± 0.6270
grouped,baseline,none,0.0,lift@20%,2.4104,0.49694798520569533,5,2.4104 ± 0.4969
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,lift@20%,2.5797999999999996,0.40074206168057785,5,2.5798 ± 0.4007
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,lift@20%,2.1066,0.3050922811216305,5,2.1066 ± 0.3051
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,lift@20%,1.6065999999999998,0.6763858366346829,5,1.6066 ± 0.6764
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,lift@20%,2.2792,0.48771579839082513,5,2.2792 ± 0.4877
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,lift@20%,2.0524,0.5473877053789206,5,2.0524 ± 0.5474
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,lift@20%,2.4042000000000003,0.5787825152853184,5,2.4042 ± 0.5788
grouped,current_measurement_missing,current_measurement_missing,1.0,lift@20%,1.2636,0.6574080163794781,5,1.2636 ± 0.6574
temporal,baseline,none,0.0,lift@20%,2.1798,0.17376046731060557,5,2.1798 ± 0.1738
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,lift@20%,2.0212,0.2023998517786016,5,2.0212 ± 0.2024
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,lift@20%,1.6946,0.24265366265523378,5,1.6946 ± 0.2427
