generator_seed,random_seed,evaluation,model,n,n_positive,prevalence,auprc,roc_auc,recall@5%,precision@5%,lift@5%,recall@10%,precision@10%,lift@10%,recall@20%,precision@20%,lift@20%,precision,recall,f1,tp,fp,fn,tn,operating_point,n_flagged,raw_brier,score_type
1618,1618,temporal,M3_plus_contextual,1069,143,0.1338,0.2408,0.6965,0.1119,0.3019,2.257,0.2238,0.2991,2.236,0.3706,0.2477,1.851,0.2477,0.3706,0.2969,53,161,90,765,top-20%,214,0.1167,probability
2026,2026,grouped,B0_haz_only,240,18,0.075,0.1663,0.5833,0.1111,0.1667,2.222,0.1111,0.0833,1.111,0.2778,0.1042,1.389,0.1042,0.2778,0.1515,5,43,13,179,top-20%,48,,ranking
2026,2026,grouped,B1_haz_slope,240,18,0.075,0.1696,0.6289,0.1111,0.1667,2.222,0.1111,0.0833,1.111,0.3889,0.1458,1.944,0.1458,0.3889,0.2121,7,41,11,181,top-20%,48,,ranking
2026,2026,grouped,B2_logreg,240,18,0.075,0.0987,0.5671,0.0,0.0,0.0,0.1667,0.125,1.667,0.2778,0.1042,1.389,0.1042,0.2778,0.1515,5,43,13,179,top-20%,48,0.1935,probability
2026,2026,grouped,M1_snapshot,240,18,0.075,0.2017,0.5888,0.2222,0.3333,4.444,0.3333,0.25,3.333,0.4444,0.1667,2.222,0.1667,0.4444,0.2424,8,40,10,182,top-20%,48,0.0759,probability
2026,2026,grouped,M2_plus_trajectory,240,18,0.075,0.2071,0.6952,0.1667,0.25,3.333,0.1667,0.125,1.667,0.4444,0.1667,2.222,0.1667,0.4444,0.2424,8,40,10,182,top-20%,48,0.0769,probability
2026,2026,grouped,M3_plus_contextual,240,18,0.075,0.1523,0.6542,0.1667,0.25,3.333,0.2778,0.2083,2.778,0.4444,0.1667,2.222,0.1667,0.4444,0.2424,8,40,10,182,top-20%,48,0.0754,probability
2026,2026,temporal,B0_haz_only,1052,140,0.1331,0.1758,0.6025,0.05,0.1321,0.992,0.1,0.1333,1.002,0.2214,0.1476,1.109,0.1476,0.2214,0.1771,31,179,109,733,top-20%,210,,ranking
2026,2026,temporal,B1_haz_slope,1052,140,0.1331,0.1765,0.6041,0.05,0.1321,0.992,0.1,0.1333,1.002,0.2286,0.1524,1.145,0.1524,0.2286,0.1829,32,178,108,734,top-20%,210,,ranking
2026,2026,temporal,B2_logreg,1052,140,0.1331,0.1788,0.6039,0.05,0.1321,0.992,0.1571,0.2095,1.574,0.2857,0.1905,1.431,0.1905,0.2857,0.2286,40,170,100,742,top-20%,210,0.2073,probability
2026,2026,temporal,M1_snapshot,1052,140,0.1331,0.2224,0.6237,0.15,0.3962,2.977,0.2357,0.3143,2.362,0.3714,0.2476,1.861,0.2476,0.3714,0.2971,52,158,88,754,top-20%,210,0.1154,probability
2026,2026,temporal,M2_plus_trajectory,1052,140,0.1331,0.2712,0.7114,0.1571,0.4151,3.119,0.2357,0.3143,2.362,0.4214,0.281,2.111,0.281,0.4214,0.3371,59,151,81,761,top-20%,210,0.1145,probability
2026,2026,temporal,M3_plus_contextual,1052,140,0.1331,0.2462,0.7073,0.1214,0.3208,2.41,0.2429,0.3238,2.433,0.4071,0.2714,2.04,0.2714,0.4071,0.3257,57,153,83,759,top-20%,210,0.1148,probability
2718,2718,grouped,B0_haz_only,240,27,0.1125,0.1506,0.6215,0.037,0.0833,0.741,0.1111,0.125,1.111,0.1481,0.0833,0.741,0.0833,0.1481,0.1067,4,44,23,169,top-20%,48,,ranking
2718,2718,grouped,B1_haz_slope,240,27,0.1125,0.1738,0.6781,0.0,0.0,0.0,0.1481,0.1667,1.481,0.2963,0.1667,1.481,0.1667,0.2963,0.2133,8,40,19,173,top-20%,48,,ranking
2718,2718,grouped,B2_logreg,240,27,0.1125,0.1968,0.6594,0.1111,0.25,2.222,0.1852,0.2083,1.852,0.3333,0.1875,1.667,0.1875,0.3333,0.24,9,39,18,174,top-20%,48,0.1941,probability
2718,2718,grouped,M1_snapshot,240,27,0.1125,0.3143,0.6566,0.2593,0.5833,5.185,0.2963,0.3333,2.963,0.4815,0.2708,2.407,0.2708,0.4815,0.3467,13,35,14,178,top-20%,48,0.1005,probability
2718,2718,grouped,M2_plus_trajectory,240,27,0.1125,0.4171,0.7728,0.2963,0.6667,5.926,0.4074,0.4583,4.074,0.5556,0.3125,2.778,0.3125,0.5556,0.4,15,33,12,180,top-20%,48,0.0993,probability
2718,2718,grouped,M3_plus_contextual,240,27,0.1125,0.2885,0.7809,0.1481,0.3333,2.963,0.2963,0.3333,2.963,0.5556,0.3125,2.778,0.3125,0.5556,0.4,15,33,12,180,top-20%,48,0.0993,probability
2718,2718,temporal,B0_haz_only,1076,156,0.145,0.2259,0.6578,0.0641,0.1852,1.277,0.1603,0.2315,1.597,0.3205,0.2326,1.604,0.2326,0.3205,0.2695,50,165,106,755,top-20%,215,,ranking
2718,2718,temporal,B1_haz_slope,1076,156,0.145,0.2899,0.7162,0.1346,0.3889,2.682,0.2308,0.3333,2.299,0.4167,0.3023,2.085,0.3023,0.4167,0.3504,65,150,91,770,top-20%,215,,ranking
2718,2718,temporal,B2_logreg,1076,156,0.145,0.1671,0.5421,0.0769,0.2222,1.533,0.141,0.2037,1.405,0.2115,0.1535,1.059,0.1535,0.2115,0.1779,33,182,123,738,top-20%,215,0.251,probability
2718,2718,temporal,M1_snapshot,1076,156,0.145,0.2493,0.6356,0.141,0.4074,2.81,0.2308,0.3333,2.299,0.391,0.2837,1.957,0.2837,0.391,0.3288,61,154,95,766,top-20%,215,0.1239,probability
2718,2718,temporal,M2_plus_trajectory,1076,156,0.145,0.3086,0.7293,0.1667,0.4815,3.321,0.2628,0.3796,2.618,0.4167,0.3023,2.085,0.3023,0.4167,0.3504,65,150,91,770,top-20%,215,0.1208,probability
2718,2718,temporal,M3_plus_contextual,1076,156,0.145,0.3247,0.7208,0.1474,0.4259,2.938,0.2756,0.3981,2.746,0.4679,0.3395,2.342,0.3395,0.4679,0.3935,73,142,83,778,top-20%,215,0.1208,probability
